player_name,earnings_str,earnings
Jordan Spieth,"$12,030,465",12030465
Jason Day,"$9,403,330",9403330
Bubba Watson,"$6,876,797",6876797
Rickie Fowler,"$5,773,430",5773430
Dustin Johnson,"$5,509,467",5509467
Justin Rose,"$5,462,677",5462677
Rory McIlroy,"$4,863,312",4863312
Zach Johnson,"$4,801,487",4801487
Henrik Stenson,"$4,755,070",4755070
Jimmy Walker,"$4,521,350",4521350
Charley Hoffman,"$4,041,089",4041089
J.B. Holmes,"$4,037,430",4037430
Danny Lee,"$3,965,933",3965933
Robert Streb,"$3,947,424",3947424
Hideki Matsuyama,"$3,758,619",3758619
Jim Furyk,"$3,732,664",3732664
Brandt Snedeker,"$3,698,056",3698056
Patrick Reed,"$3,590,566",3590566
Brooks Koepka,"$3,571,901",3571901
Kevin Kisner,"$3,567,939",3567939
Paul Casey,"$3,488,311",3488311
Louis Oosthuizen,"$3,251,174",3251174
Steven Bowditch,"$3,075,410",3075410
Bill Haas,"$3,064,024",3064024
Daniel Berger,"$3,028,901",3028901
Kevin Na,"$2,820,766",2820766
Scott Piercy,"$2,780,027",2780027
Matt Kuchar,"$2,774,170",2774170
David Lingmerth,"$2,736,378",2736378
Ben Martin,"$2,717,305",2717305
Sergio Garcia,"$2,670,229",2670229
Ryan Moore,"$2,642,306",2642306
Gary Woodland,"$2,605,083",2605083
Sangmoon Bae,"$2,599,633",2599633
Chris Kirk,"$2,369,326",2369326
Jason Bohn,"$2,337,580",2337580
Shane Lowry,"$2,298,517",2298517
Justin Thomas,"$2,278,564",2278564
Phil Mickelson,"$2,154,200",2154200
Russell Henley,"$2,110,774",2110774
Tony Finau,"$2,095,186",2095186
Troy Merritt,"$2,092,669",2092669
James Hahn,"$2,064,783",2064783
Webb Simpson,"$2,046,260",2046260
Matt Jones,"$1,995,553",1995553
Ryan Palmer,"$1,974,523",1974523
Harris English,"$1,971,687",1971687
Russell Knox,"$1,916,666",1916666
Cameron Tringale,"$1,837,164",1837164
David Hearn,"$1,817,043",1817043
