player_name,earnings_str,earnings,player_name_short
Jordan Spieth,"$12,030,465",12030465,j. spieth
Jason Day,"$9,403,330",9403330,j. day
Bubba Watson,"$6,876,797",6876797,b. watson
Rickie Fowler,"$5,773,430",5773430,r. fowler
Dustin Johnson,"$5,509,467",5509467,d. johnson
Justin Rose,"$5,462,677",5462677,j. rose
Rory McIlroy,"$4,863,312",4863312,r. mcilroy
Zach Johnson,"$4,801,487",4801487,z. johnson
Henrik Stenson,"$4,755,070",4755070,h. stenson
Jimmy Walker,"$4,521,350",4521350,j. walker
Charley Hoffman,"$4,041,089",4041089,c. hoffman
J.B. Holmes,"$4,037,430",4037430,j. holmes
Danny Lee,"$3,965,933",3965933,d. lee
Robert Streb,"$3,947,424",3947424,r. streb
Hideki Matsuyama,"$3,758,619",3758619,h. matsuyama
Jim Furyk,"$3,732,664",3732664,j. furyk
Brandt Snedeker,"$3,698,056",3698056,b. snedeker
Patrick Reed,"$3,590,566",3590566,p. reed
Brooks Koepka,"$3,571,901",3571901,b. koepka
Kevin Kisner,"$3,567,939",3567939,k. kisner
Paul Casey,"$3,488,311",3488311,p. casey
Louis Oosthuizen,"$3,251,174",3251174,l. oosthuizen
Steven Bowditch,"$3,075,410",3075410,s. bowditch
Bill Haas,"$3,064,024",3064024,b. haas
Daniel Berger,"$3,028,901",3028901,d. berger
Kevin Na,"$2,820,766",2820766,k. na
Scott Piercy,"$2,780,027",2780027,s. piercy
Matt Kuchar,"$2,774,170",2774170,m. kuchar
David Lingmerth,"$2,736,378",2736378,d. lingmerth
Ben Martin,"$2,717,305",2717305,b. martin
Sergio Garcia,"$2,670,229",2670229,s. garcia
Ryan Moore,"$2,642,306",2642306,r. moore
Gary Woodland,"$2,605,083",2605083,g. woodland
Sangmoon Bae,"$2,599,633",2599633,s. bae
Chris Kirk,"$2,369,326",2369326,c. kirk
Jason Bohn,"$2,337,580",2337580,j. bohn
Shane Lowry,"$2,298,517",2298517,s. lowry
Justin Thomas,"$2,278,564",2278564,j. thomas
Phil Mickelson,"$2,154,200",2154200,p. mickelson
Russell Henley,"$2,110,774",2110774,r. henley
Tony Finau,"$2,095,186",2095186,t. finau
Troy Merritt,"$2,092,669",2092669,t. merritt
James Hahn,"$2,064,783",2064783,j. hahn
Webb Simpson,"$2,046,260",2046260,w. simpson
Matt Jones,"$1,995,553",1995553,m. jones
Ryan Palmer,"$1,974,523",1974523,r. palmer
Harris English,"$1,971,687",1971687,h. english
Russell Knox,"$1,916,666",1916666,r. knox
Cameron Tringale,"$1,837,164",1837164,c. tringale
David Hearn,"$1,817,043",1817043,d. hearn
